RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,72,268,35,63,0.235,14,1,13,37,118,34,100,0,0.328,0.44,0.768,1.8
2,Patrick WisdomCHC,3B,68,241,38,56,0.232,14,0,14,37,112,28,95,2,0.319,0.465,0.783,0.8
3,Chris TaylorLAD,DH,66,229,28,56,0.245,18,3,6,26,98,26,91,5,0.324,0.428,0.752,0.6
4,Kyle SchwarberPHI,LF,71,260,50,56,0.215,11,0,20,42,127,47,90,4,0.339,0.488,0.827,1.4
5,Adam DuvallATL,CF,71,243,32,48,0.198,10,1,8,27,84,21,88,0,0.265,0.346,0.611,-0.2
6,Trevor StoryBOS,2B,65,250,40,56,0.224,15,0,11,48,104,27,87,9,0.304,0.416,0.72,2
7,Austin RileyATL,3B,71,278,39,71,0.255,15,1,18,42,142,22,85,2,0.325,0.511,0.835,2
7,Julio RodriguezSEA,CF,72,274,38,74,0.27,14,1,11,35,123,22,85,19,0.333,0.449,0.782,2.4
9,Brandon MarshLAA,CF,66,218,25,50,0.229,7,0,6,30,75,16,83,4,0.285,0.344,0.629,1.1
10,C.J. CronCOL,1B,72,281,45,82,0.292,15,2,17,52,152,19,81,0,0.342,0.541,0.883,2
10,Joey GalloNYY,LF,60,179,24,31,0.173,4,0,9,18,62,28,81,1,0.285,0.346,0.631,0.3
10,Jared WalshLAA,1B,70,257,31,67,0.261,12,2,13,40,122,14,81,1,0.307,0.475,0.781,1
13,Jorge SolerMIA,RF,65,247,31,54,0.219,13,0,13,33,106,29,79,0,0.307,0.429,0.736,0.8
13,Ryan McMahonCOL,2B,70,249,29,60,0.241,13,2,6,37,95,33,79,0,0.336,0.382,0.717,1.5
13,Cody BellingerLAD,CF,65,243,31,52,0.214,13,2,9,28,96,20,79,9,0.275,0.395,0.671,1.2
13,Dansby SwansonATL,SS,73,270,48,83,0.307,14,1,13,43,138,25,79,11,0.371,0.511,0.882,3.3
13,Luke VoitSD,DH,54,202,27,46,0.228,13,0,9,32,86,27,79,1,0.319,0.426,0.745,0.7
13,Adolis GarciaTEX,RF,68,269,44,69,0.257,12,3,15,47,132,14,79,11,0.295,0.491,0.786,2.3
19,Bo BichetteTOR,SS,70,297,40,76,0.256,15,0,12,39,127,19,78,5,0.301,0.428,0.728,1.2
20,Aaron JudgeNYY,RF,70,268,58,79,0.295,11,0,27,53,171,34,77,5,0.369,0.638,1.007,3.7
20,Rhys HoskinsPHI,1B,72,268,37,66,0.246,13,2,13,37,122,36,77,0,0.339,0.455,0.794,1.3
22,Christian YelichMIL,LF,71,270,44,66,0.244,11,2,7,26,102,35,76,11,0.333,0.378,0.711,1.3
22,Jorge MateoBAL,SS,66,222,23,45,0.203,10,2,5,17,74,11,76,19,0.25,0.333,0.583,1.2
24,Mike TroutLAA,CF,65,232,51,67,0.289,16,2,22,45,153,35,75,0,0.391,0.659,1.051,4.2
24,Shohei OhtaniLAA,SP,71,272,45,71,0.261,13,1,16,47,134,30,75,7,0.339,0.493,0.831,1.1
26,Eduardo EscobarNYM,3B,67,254,30,58,0.228,16,3,6,30,98,23,71,0,0.287,0.386,0.673,-0.1
26,Nick CastellanosPHI,LF,72,277,30,67,0.242,17,0,7,36,105,21,71,2,0.298,0.379,0.677,-0.6
26,Randy ArozarenaTB,RF,69,266,31,69,0.259,16,2,7,32,110,14,71,12,0.31,0.414,0.724,0.4
29,Matt OlsonATL,1B,73,277,29,69,0.249,29,0,10,39,128,42,70,0,0.348,0.462,0.81,1.3
29,Trent GrishamSD,CF,71,236,29,45,0.191,10,2,6,27,77,30,70,2,0.289,0.326,0.615,1
