Rank,Player,Strikeouts
1,Suarez • SEA,121
2,Wisdom • CHC,120
3,Schwarber • PHI,112
4,Story • BOS,105
5,Marsh • LAA,103
6,Swanson • ATL,102
7,Taylor • LAD,101
8,Riley • ATL,100
NA,García • TEX,100
10,Walsh • LAA,99
NA,Rodriguez • SEA,99
