RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Manny MachadoSD,3B,6,23,2,6,0.261,2,0,2,5,14,4,10,0,0.37,0.609,0.979,0
2,Andres GimenezCLE,2B,4,16,0,3,0.188,1,0,0,1,4,1,9,1,0.235,0.25,0.485,0
2,Ha-Seong KimSD,SS,6,21,6,4,0.19,2,0,0,0,6,4,9,1,0.32,0.286,0.606,0
4,Wil MyersSD,RF,5,20,1,2,0.1,0,0,1,1,5,0,8,0,0.1,0.25,0.35,0
4,Kyle SchwarberPHI,LF,5,18,1,1,0.056,0,0,0,2,1,1,8,0,0.136,0.056,0.192,0
4,Rhys HoskinsPHI,1B,5,21,2,2,0.095,1,0,1,3,6,1,8,0,0.136,0.286,0.422,0
4,Jake CronenworthSD,2B,6,25,3,5,0.2,0,0,1,3,8,0,8,0,0.2,0.32,0.52,0
8,Josh BellSD,DH,5,19,2,3,0.158,0,0,1,2,6,1,7,0,0.2,0.316,0.516,0
8,Aaron JudgeNYY,CF,2,8,1,0,0,0,0,0,0,0,1,7,1,0.111,0,0.111,0
10,Carlos SantanaSEA,1B,4,15,1,3,0.2,2,0,1,4,8,2,6,0,0.294,0.533,0.827,0
10,Brandon DrurySD,1B,3,11,0,1,0.091,0,0,0,0,1,0,6,0,0.091,0.091,0.182,0
12,Trayce ThompsonLAD,LF,3,9,1,1,0.111,0,0,0,0,1,3,5,0,0.333,0.111,0.444,0
12,Austin HedgesCLE,C,4,10,0,0,0,0,0,0,0,0,2,5,0,0.167,0,0.167,0
12,J.T. RealmutoPHI,C,5,19,5,4,0.211,0,0,0,0,4,2,5,0,0.286,0.211,0.496,0
12,Eugenio SuarezSEA,3B,4,16,5,6,0.375,2,0,1,3,11,1,5,0,0.412,0.688,1.099,0
12,Jose RamirezCLE,3B,4,18,2,5,0.278,2,0,1,2,10,1,5,0,0.316,0.556,0.871,0
12,Austin NolaSD,C,6,18,1,7,0.389,2,0,0,3,9,2,5,0,0.429,0.5,0.929,0
12,Jose SiriTB,CF,2,9,1,1,0.111,0,0,1,1,4,0,5,0,0.111,0.444,0.556,0
12,Dansby SwansonATL,SS,3,12,3,2,0.167,1,0,0,0,3,1,5,0,0.231,0.25,0.481,0
12,Randy ArozarenaTB,LF,2,9,0,1,0.111,0,0,0,0,1,1,5,0,0.2,0.111,0.311,0
