Rank,Player,Strikeouts
1,Reyes • CLE,48
2,Wisdom • CHC,45
NA,Suarez • SEA,45
4,Swanson • ATL,43
5,Taylor • LAD,42
6,Duvall • ATL,41
NA,Bellinger • LAD,41
NA,Schwarber • PHI,41
NA,Rodriguez • SEA,41
10,McMahon • COL,40
NA,Adames • MIL,40
NA,Hoskins • PHI,40
NA,García • TEX,40
