Rank,Player,Strikeouts
1,Suarez • SEA,122
2,Wisdom • CHC,120
3,Schwarber • PHI,116
4,Story • BOS,105
5,Marsh • LAA,104
6,Swanson • ATL,102
NA,García • TEX,102
8,Riley • ATL,101
NA,Taylor • LAD,101
10,Judge • NYY,100
NA,Rodriguez • SEA,100
