Rank,Player,Strikeouts
1,Wisdom • CHC,56
NA,Suarez • SEA,56
3,Reyes • CLE,55
4,Swanson • ATL,54
5,Schwarber • PHI,53
6,Taylor • LAD,52
7,Rodriguez • SEA,51
8,Bellinger • LAD,50
9,Duvall • ATL,49
10,García • TEX,48
