Rank,Player,Strikeouts
1,Suarez • SEA,177
2,Schwarber • PHI,172
3,Wisdom • CHC,158
4,Swanson • ATL,155
NA,García • TEX,155
6,Judge • NYY,146
7,Voit • 2TM,143
8,Riley • ATL,140
NA,Cron • COL,140
10,Hoskins • PHI,139
