Rank,Player,Strikeouts
1,Reyes • CLE,48
2,Swanson • ATL,42
NA,Wisdom • CHC,42
NA,Suarez • SEA,42
5,Taylor • LAD,41
6,Duvall • ATL,40
NA,Schwarber • PHI,40
NA,Rodriguez • SEA,40
9,Bellinger • LAD,39
10,McMahon • COL,38
NA,Soler • MIA,38
NA,García • TEX,38
