Rank,Player,Strikeouts
1,Suarez • SEA,163
2,Wisdom • CHC,154
3,Schwarber • PHI,153
4,García • TEX,141
5,Swanson • ATL,136
NA,Walsh • LAA,136
7,Judge • NYY,134
8,Voit • 2TM,132
9,Olson • ATL,130
10,Riley • ATL,128
NA,Cron • COL,128
NA,Hoskins • PHI,128
