RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,80,296,36,71,0.24,17,1,13,38,129,38,110,0,0.332,0.436,0.768,2.1
2,Patrick WisdomCHC,3B,75,271,43,63,0.232,15,0,17,45,129,30,105,4,0.317,0.476,0.793,1
3,Chris TaylorLAD,LF,73,251,31,60,0.239,19,3,6,27,103,28,100,6,0.318,0.41,0.728,0.5
3,Kyle SchwarberPHI,LF,78,289,54,62,0.215,12,0,23,51,143,49,100,4,0.331,0.495,0.826,1.4
5,Trevor StoryBOS,2B,72,272,43,60,0.221,15,0,12,52,111,28,95,10,0.296,0.408,0.705,1.9
6,Adam DuvallATL,CF,77,263,36,54,0.205,13,1,10,32,99,21,93,0,0.272,0.376,0.649,-0.3
7,Julio RodriguezSEA,CF,80,300,45,83,0.277,16,2,14,41,145,23,91,20,0.337,0.483,0.821,3.3
8,Dansby SwansonATL,SS,80,302,50,91,0.301,16,1,14,46,151,25,90,12,0.36,0.5,0.86,3.4
8,Austin RileyATL,3B,78,304,44,81,0.266,18,1,20,48,161,26,90,2,0.336,0.53,0.866,2.4
8,Brandon MarshLAA,LF,73,235,27,54,0.23,8,1,6,31,82,16,90,4,0.281,0.349,0.63,0.7
11,Joey GalloNYY,RF,66,194,25,32,0.165,4,0,9,18,63,30,89,1,0.277,0.325,0.602,-0.2
11,Jared WalshLAA,1B,77,281,33,71,0.253,12,2,13,40,126,14,89,1,0.295,0.448,0.744,0.7
13,Mike TroutLAA,CF,72,257,53,70,0.272,17,2,23,47,160,37,88,0,0.372,0.623,0.995,3.9
14,C.J. CronCOL,1B,79,309,48,92,0.298,17,2,19,64,170,21,87,0,0.349,0.55,0.899,2.5
14,Cody BellingerLAD,CF,72,266,35,55,0.207,13,2,11,31,105,21,87,9,0.266,0.395,0.66,1.3
14,Bo BichetteTOR,SS,79,335,44,86,0.257,19,0,12,43,141,21,87,5,0.301,0.421,0.721,0.9
17,Luke VoitSD,DH,61,224,29,52,0.232,15,0,10,35,97,28,86,1,0.318,0.433,0.751,0.8
18,Aaron JudgeNYY,CF,78,294,64,83,0.282,12,0,29,59,182,39,85,6,0.362,0.619,0.981,3.5
19,Jorge MateoBAL,SS,73,240,26,47,0.196,10,2,6,20,79,14,84,19,0.248,0.329,0.577,1.3
19,Adolis GarciaTEX,RF,75,297,47,75,0.253,16,3,15,50,142,16,84,11,0.292,0.478,0.771,2.6
21,Rhys HoskinsPHI,1B,79,292,44,75,0.257,16,2,17,42,146,41,83,0,0.35,0.5,0.85,2.2
22,Christian YelichMIL,LF,78,297,53,76,0.256,11,3,8,30,117,40,82,12,0.348,0.394,0.742,1.4
22,Jorge SolerMIA,LF,67,254,31,55,0.217,13,0,13,34,107,30,82,0,0.306,0.421,0.727,0.6
24,Shohei OhtaniLAA,SP,78,294,47,77,0.262,15,1,18,51,148,35,81,8,0.344,0.503,0.848,1.5
25,Ryan McMahonCOL,3B,77,270,32,64,0.237,13,2,7,38,102,36,80,1,0.332,0.378,0.71,1.4
25,Randy ArozarenaTB,LF,76,294,36,76,0.259,17,2,8,36,121,18,80,18,0.313,0.412,0.725,0.7
27,Franmil ReyesCLE,DH,46,174,14,37,0.213,5,0,6,19,60,12,78,0,0.266,0.345,0.611,-0.6
27,Trent GrishamSD,CF,78,257,30,48,0.187,10,2,7,30,83,32,78,2,0.282,0.323,0.605,1
29,Nick CastellanosPHI,RF,79,307,32,76,0.248,17,0,8,42,117,21,77,4,0.298,0.381,0.679,-0.8
29,Matt OlsonATL,1B,80,306,33,76,0.248,31,0,12,43,143,44,77,0,0.343,0.467,0.81,1.4
29,Bobby Witt Jr.KC,SS,75,288,41,67,0.233,16,5,11,39,126,18,77,12,0.282,0.438,0.72,0.8
32,Eduardo EscobarNYM,3B,72,272,33,62,0.228,16,3,9,36,111,24,76,0,0.286,0.408,0.694,0.1
32,Andrew VelazquezLAA,SS,73,210,22,35,0.167,6,0,5,20,56,9,76,10,0.21,0.267,0.476,0.8
34,Ryan MountcastleBAL,1B,68,269,35,76,0.283,18,0,14,40,136,15,74,3,0.321,0.506,0.826,1.7
34,Bryan ReynoldsPIT,CF,76,285,37,72,0.253,8,3,15,32,131,31,74,3,0.328,0.46,0.788,1.4
36,Matt ChapmanTOR,3B,75,261,40,56,0.215,14,0,11,37,103,26,73,0,0.29,0.395,0.685,1.1
37,Giancarlo StantonNYY,DH,66,237,31,58,0.245,5,0,20,53,123,31,72,0,0.328,0.519,0.847,1.4
37,Avisail GarciaMIA,RF,65,245,23,56,0.229,7,0,6,25,81,9,72,3,0.265,0.331,0.596,-0.4
37,Tommy PhamCIN,LF,69,253,47,65,0.257,9,0,11,34,107,36,72,6,0.348,0.423,0.771,1.1
37,Robbie GrossmanDET,LF,61,204,19,43,0.211,9,0,2,18,58,28,72,2,0.314,0.284,0.598,-0.1
37,Jesus SanchezMIA,CF,66,229,31,49,0.214,8,3,11,29,96,14,72,1,0.264,0.419,0.683,0.2
42,J.D. MartinezBOS,DH,68,267,44,82,0.307,24,0,8,33,130,28,71,0,0.377,0.487,0.864,1.3
42,Gary SanchezMIN,C,64,234,26,51,0.218,18,0,9,34,96,15,71,1,0.275,0.41,0.685,0.3
42,Marcell OzunaATL,DH,76,295,38,67,0.227,9,0,16,34,124,21,71,2,0.28,0.42,0.701,-0.4
42,Byron BuxtonMIN,CF,61,225,45,51,0.227,10,2,21,38,128,20,71,1,0.303,0.569,0.872,2.6
46,Kole CalhounTEX,RF,71,245,28,58,0.237,12,1,10,36,102,15,70,2,0.287,0.416,0.703,0.4
46,Brett PhillipsTB,RF,58,152,16,23,0.151,4,0,4,10,39,12,70,6,0.222,0.257,0.478,0.7
46,Seth BrownOAK,1B,75,240,24,52,0.217,15,2,10,36,101,19,70,7,0.279,0.421,0.699,0.4
46,Jake CronenworthSD,2B,79,306,50,74,0.242,20,2,7,43,119,34,70,1,0.334,0.389,0.723,2.6
46,Nathaniel LoweTEX,1B,72,269,31,75,0.279,10,1,11,33,120,20,70,1,0.329,0.446,0.775,0.7
