Rank,Player,Strikeouts
1,Suarez • SEA,134
2,Wisdom • CHC,129
3,Schwarber • PHI,128
4,Marsh • LAA,114
5,Swanson • ATL,110
NA,Cron • COL,110
NA,Judge • NYY,110
NA,García • TEX,110
9,Bichette • TOR,108
10,Olson • ATL,107
