Rank,Player,Strikeouts
1,Wisdom • CHC,60
2,Suarez • SEA,59
3,Reyes • CLE,57
4,Swanson • ATL,56
NA,Schwarber • PHI,56
6,Taylor • LAD,54
NA,Rodriguez • SEA,54
8,Duvall • ATL,52
NA,Bellinger • LAD,52
10,Riley • ATL,49
NA,Story • BOS,49
