RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,59,217,31,51,0.235,12,1,11,32,98,28,84,0,0.331,0.452,0.782,1.5
2,Patrick WisdomCHC,3B,56,199,32,44,0.221,13,0,12,31,93,23,80,2,0.307,0.467,0.774,0.8
3,Kyle SchwarberPHI,LF,58,212,38,44,0.208,9,0,16,34,101,36,76,3,0.327,0.476,0.803,0.9
4,Chris TaylorLAD,DH,56,192,25,49,0.255,14,3,6,25,87,24,74,3,0.338,0.453,0.791,0.8
4,Austin RileyATL,3B,60,239,34,62,0.259,13,1,16,35,125,20,74,2,0.327,0.523,0.85,2
4,Julio RodriguezSEA,CF,59,225,28,59,0.262,9,1,8,28,94,18,74,17,0.325,0.418,0.743,1.8
7,Trevor StoryBOS,2B,54,207,32,46,0.222,14,0,9,41,87,24,73,8,0.308,0.42,0.728,1.6
8,C.J. CronCOL,1B,61,237,35,69,0.291,13,1,14,42,126,16,71,0,0.344,0.532,0.875,1.9
9,Adam DuvallATL,CF,59,204,27,42,0.206,10,1,6,24,72,14,70,0,0.261,0.353,0.614,-0.6
10,Rhys HoskinsPHI,1B,59,224,32,52,0.232,10,1,11,29,97,27,69,0,0.319,0.433,0.752,0.9
10,Jared WalshLAA,1B,59,219,28,57,0.26,11,1,11,36,103,13,69,1,0.308,0.47,0.778,0.9
12,Adolis GarciaTEX,RF,57,226,33,55,0.243,10,2,12,40,105,13,68,9,0.288,0.465,0.753,1.3
13,Joey GalloNYY,LF,50,154,20,29,0.188,3,0,8,15,56,22,67,0,0.29,0.364,0.653,0.3
13,Ryan McMahonCOL,2B,60,212,26,50,0.236,12,2,4,32,78,28,67,0,0.332,0.368,0.7,1.1
13,Dansby SwansonATL,SS,61,221,36,64,0.29,12,1,7,32,99,21,67,9,0.355,0.448,0.803,2.4
16,Cody BellingerLAD,CF,55,203,25,42,0.207,13,2,7,23,80,19,66,6,0.278,0.394,0.672,1
17,Jorge SolerMIA,RF,54,204,28,44,0.216,11,0,12,29,91,25,65,0,0.31,0.446,0.756,0.7
17,Shohei OhtaniLAA,SP,60,231,41,59,0.255,12,0,13,37,110,24,65,7,0.333,0.476,0.81,1
19,Matt OlsonATL,1B,61,231,25,58,0.251,24,0,8,31,106,37,64,0,0.356,0.459,0.814,1.1
19,Aaron JudgeNYY,RF,58,223,52,71,0.318,10,0,24,48,153,29,64,3,0.391,0.686,1.077,3.5
19,Brandon MarshLAA,CF,54,182,24,47,0.258,6,0,6,30,71,14,64,3,0.313,0.39,0.704,1
22,Christian YelichMIL,LF,59,223,37,54,0.242,9,2,6,22,85,27,62,9,0.327,0.381,0.708,0.9
22,Jorge MateoBAL,SS,54,185,17,38,0.205,9,2,4,15,63,7,62,14,0.238,0.341,0.579,1.5
22,Bo BichetteTOR,SS,59,247,33,66,0.267,15,0,10,32,111,17,62,4,0.314,0.449,0.764,1.3
25,Pavin SmithARI,RF,56,184,17,37,0.201,6,0,8,26,67,22,61,1,0.287,0.364,0.651,0.2
26,Eduardo EscobarNYM,3B,58,223,29,54,0.242,16,3,5,24,91,22,60,0,0.306,0.408,0.715,0.5
26,Mike TroutLAA,CF,54,191,42,56,0.293,15,1,16,34,121,27,60,0,0.392,0.634,1.025,3.1
26,Nick CastellanosPHI,LF,59,227,27,57,0.251,14,0,7,31,92,18,60,2,0.309,0.405,0.715,-0.4
26,Luke VoitSD,DH,42,154,20,35,0.227,6,0,6,21,59,19,60,1,0.313,0.383,0.696,0.3
30,Sean MurphyOAK,C,56,201,24,40,0.199,14,1,7,25,77,19,59,0,0.282,0.383,0.665,0.7
31,Trent GrishamSD,CF,59,191,21,34,0.178,10,2,4,21,60,27,58,1,0.286,0.314,0.6,0.6
32,Franmil ReyesCLE,DH,35,133,9,26,0.195,2,0,3,12,37,10,57,0,0.255,0.278,0.533,-0.9
32,Jake CronenworthSD,SS,60,231,34,51,0.221,12,2,6,36,85,26,57,0,0.309,0.368,0.677,1.8
32,Jesus SanchezMIA,RF,52,178,24,40,0.225,7,3,8,23,77,10,57,0,0.272,0.433,0.705,0.4
32,Daulton VarshoARI,CF,56,202,30,50,0.248,12,0,9,28,89,18,57,4,0.317,0.441,0.758,1.4
36,Avisail GarciaMIA,RF,50,184,17,41,0.223,4,0,3,14,54,8,56,3,0.264,0.293,0.557,-0.4
36,Brett PhillipsTB,RF,44,119,14,20,0.168,4,0,4,10,36,10,56,6,0.237,0.303,0.539,1
36,Randy ArozarenaTB,RF,58,224,29,60,0.268,14,2,7,31,99,13,56,12,0.318,0.442,0.76,1.1
39,Salvador PerezKC,C,49,194,22,41,0.211,12,1,9,29,82,7,55,0,0.25,0.423,0.673,0.8
39,Randal GrichukCOL,CF,51,181,23,46,0.254,6,0,5,27,67,10,55,2,0.297,0.37,0.668,-0.5
39,Marcell OzunaATL,DH,58,229,26,51,0.223,8,0,10,23,89,13,55,2,0.265,0.389,0.654,-0.8
39,Jorge PolancoMIN,SS,58,216,28,53,0.245,10,0,7,33,84,32,55,3,0.34,0.389,0.729,1.7
39,Andrew VelazquezLAA,SS,54,166,18,29,0.175,5,0,4,16,46,8,55,8,0.223,0.277,0.501,0.8
39,Seth BrownOAK,LF,58,178,18,38,0.213,11,2,8,31,77,16,55,6,0.281,0.433,0.713,0.2
39,Pete AlonsoNYM,DH,61,229,40,65,0.284,9,0,18,57,128,24,55,2,0.362,0.559,0.921,1.8
39,Bobby Witt Jr.KC,SS,57,217,34,53,0.244,14,4,8,30,99,12,55,10,0.291,0.456,0.747,0.9
47,Giancarlo StantonNYY,DH,48,174,20,48,0.276,5,0,13,40,92,21,54,0,0.348,0.529,0.877,1.1
47,Francisco LindorNYM,SS,61,237,40,58,0.245,9,2,9,45,98,27,54,8,0.326,0.414,0.74,1.4
47,Chad PinderOAK,LF,44,153,14,39,0.255,9,0,5,15,63,7,54,2,0.286,0.412,0.697,-0.4
47,Matt ChapmanTOR,3B,56,194,27,42,0.216,9,0,7,23,72,22,54,0,0.305,0.371,0.676,0.7
