Rank,Player,Strikeouts
1,Swanson • ATL,52
NA,Wisdom • CHC,52
3,Reyes • CLE,51
4,Taylor • LAD,48
NA,Schwarber • PHI,48
NA,Suarez • SEA,48
7,Duvall • ATL,47
NA,Rodriguez • SEA,47
9,Bellinger • LAD,46
10,Gallo • NYY,45
