Rank,Player,Strikeouts
1,Schwarber • PHI,187
2,Suarez • SEA,183
3,Swanson • ATL,169
4,García • TEX,168
5,Wisdom • CHC,166
6,Judge • NYY,161
7,Chapman • TOR,160
8,Voit • 2TM,159
9,Pham • 2TM,157
10,Olson • ATL,155
NA,Riley • ATL,155
NA,Cron • COL,155
