RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Manny MachadoSD,3B,4,17,1,4,0.235,1,0,1,3,8,1,7,0,0.278,0.471,0.748,0
1,Jake CronenworthSD,2B,4,17,1,2,0.118,0,0,0,0,2,0,7,0,0.118,0.118,0.235,0
1,Andres GimenezCLE,2B,3,12,0,2,0.167,1,0,0,0,3,0,7,0,0.167,0.25,0.417,0
4,Ha-Seong KimSD,SS,4,12,5,3,0.25,2,0,0,0,5,4,6,1,0.438,0.417,0.854,0
5,Carlos SantanaSEA,1B,3,12,1,2,0.167,1,0,1,3,6,1,5,0,0.231,0.5,0.731,0
5,Josh BellSD,1B,4,15,2,3,0.2,0,0,1,2,6,1,5,0,0.25,0.4,0.65,0
5,Kyle SchwarberPHI,LF,3,12,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
5,Jose SiriTB,CF,2,9,1,1,0.111,0,0,1,1,4,0,5,0,0.111,0.444,0.556,0
5,Rhys HoskinsPHI,1B,3,14,1,1,0.071,1,0,0,0,2,0,5,0,0.071,0.143,0.214,0
5,Randy ArozarenaTB,LF,2,9,0,1,0.111,0,0,0,0,1,1,5,0,0.2,0.111,0.311,0
5,Oscar GonzalezCLE,RF,3,13,1,3,0.231,0,0,1,1,6,0,5,0,0.286,0.462,0.747,0
12,Paul GoldschmidtSTL,1B,2,7,0,0,0,0,0,0,0,0,0,4,0,0.125,0,0.125,0
12,Wil MyersSD,RF,3,12,1,1,0.083,0,0,1,1,4,0,4,0,0.083,0.333,0.417,0
12,Austin HedgesCLE,C,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
12,Eugenio SuarezSEA,3B,3,13,4,6,0.462,2,0,1,3,11,0,4,0,0.462,0.846,1.308,0
12,Jose RamirezCLE,3B,3,13,1,4,0.308,1,0,1,2,8,1,4,0,0.357,0.615,0.973,0
12,Austin NolaSD,C,4,11,1,5,0.455,2,0,0,3,7,1,4,0,0.462,0.636,1.098,0
12,Amed RosarioCLE,SS,3,12,1,2,0.167,0,0,0,0,2,0,4,1,0.286,0.167,0.452,0
12,Yandy DiazTB,3B,2,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
12,Dansby SwansonATL,SS,1,5,1,1,0.2,0,0,0,0,1,0,4,0,0.2,0.2,0.4,0
12,Danny JansenTOR,C,2,8,0,3,0.375,1,0,0,2,4,0,4,0,0.375,0.5,0.875,0
12,Tomas NidoNYM,C,3,8,0,1,0.125,0,0,0,0,1,1,4,0,0.222,0.125,0.347,0
12,Pete AlonsoNYM,1B,3,10,2,3,0.3,0,0,1,1,6,2,4,0,0.417,0.6,1.017,0
12,Cal RaleighSEA,C,3,12,4,5,0.417,1,0,1,4,9,1,4,0,0.462,0.75,1.212,0
12,Will BrennanCLE,CF,2,8,0,1,0.125,0,0,0,0,1,0,4,0,0.125,0.125,0.25,0
26,Eduardo EscobarNYM,3B,3,9,2,3,0.333,1,0,1,2,7,2,3,0,0.455,0.778,1.232,0
26,Christian BethancourtTB,C,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
26,George SpringerTOR,CF,2,7,0,2,0.286,0,0,0,0,2,0,3,0,0.375,0.286,0.661,0
26,J.T. RealmutoPHI,C,3,11,3,2,0.182,0,0,0,0,2,2,3,0,0.308,0.182,0.49,0
26,Brandon DrurySD,1B,2,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
26,Aaron JudgeNYY,CF,1,3,1,0,0,0,0,0,0,0,1,3,1,0.25,0,0.25,0
26,Harold RamirezTB,DH,2,9,0,1,0.111,0,0,0,0,1,0,3,0,0.111,0.111,0.222,0
26,Austin RileyATL,3B,1,4,0,0,0,0,0,0,0,0,1,3,0,0.2,0,0.2,0
26,Josh NaylorCLE,1B,3,13,0,2,0.154,0,0,0,0,2,0,3,0,0.154,0.154,0.308,0
26,Julio RodriguezSEA,CF,3,11,5,3,0.273,1,1,0,2,6,2,3,0,0.467,0.545,1.012,0
26,Jarred KelenicSEA,LF,3,9,1,2,0.222,0,0,0,1,2,0,3,0,0.2,0.222,0.422,0
37,Yadier MolinaSTL,C,2,8,0,1,0.125,0,0,0,0,1,0,2,0,0.125,0.125,0.25,0
37,Martin MaldonadoHOU,C,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37,Bryce HarperPHI,DH,3,10,3,5,0.5,1,0,1,1,9,2,2,0,0.583,0.9,1.483,0
37,Jurickson ProfarSD,LF,4,16,3,4,0.25,0,0,1,4,7,2,2,0,0.333,0.438,0.771,0
37,Nick CastellanosPHI,RF,3,12,2,3,0.25,1,0,0,3,4,1,2,0,0.308,0.333,0.641,0
37,Nolan ArenadoSTL,3B,2,8,1,1,0.125,0,0,0,0,1,0,2,0,0.125,0.125,0.25,0
37,Jose AltuveHOU,2B,1,4,1,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2,0
37,Mark CanhaNYM,LF,3,10,1,0,0,0,0,0,0,0,2,2,0,0.167,0,0.167,0
37,Francisco LindorNYM,SS,3,10,2,2,0.2,0,0,1,1,5,1,2,1,0.333,0.5,0.833,0
37,Mitch HanigerSEA,RF,3,13,1,3,0.231,1,0,0,0,4,0,2,0,0.231,0.308,0.538,0
37,J.P. CrawfordSEA,SS,3,11,1,2,0.182,1,0,1,4,6,2,2,0,0.308,0.545,0.853,0
37,Francisco MejiaTB,C,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37,Max MuncyLAD,3B,1,3,1,1,0.333,0,0,0,1,1,1,2,0,0.5,0.333,0.833,0
37,Matt ChapmanTOR,3B,2,7,0,3,0.429,1,0,0,1,4,1,2,0,0.444,0.571,1.016,0
