RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,132,477,64,110,0.231,23,2,25,76,212,67,175,0,0.333,0.444,0.777,3.8
2,Kyle SchwarberPHI,LF,127,475,81,102,0.215,19,2,36,78,233,66,169,6,0.313,0.491,0.804,1.5
3,Patrick WisdomCHC,3B,117,411,60,89,0.217,25,0,22,58,180,51,158,7,0.311,0.438,0.749,1.2
4,Adolis GarciaTEX,CF,128,509,74,128,0.251,25,4,22,83,227,31,155,22,0.297,0.446,0.743,2.8
5,Dansby SwansonATL,SS,134,525,86,149,0.284,29,1,17,78,231,43,154,17,0.34,0.44,0.78,4.9
6,Aaron JudgeNYY,RF,129,476,105,141,0.296,20,0,52,114,317,79,146,15,0.399,0.666,1.065,7.9
7,Luke VoitSD/WSH,1B,106,387,46,88,0.227,18,0,18,57,160,47,142,1,0.319,0.413,0.733,1
8,C.J. CronCOL,1B,126,490,67,133,0.271,26,3,24,86,237,33,139,0,0.323,0.484,0.806,2.4
9,Rhys HoskinsPHI,1B,131,491,70,123,0.251,25,2,26,66,230,64,138,2,0.342,0.468,0.81,3
9,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.7
9,Brandon MarshPHI/LAA,LF,111,347,40,80,0.231,11,3,9,45,124,24,138,9,0.284,0.357,0.641,0.8
12,Tommy PhamBOS/CIN,LF,119,459,77,114,0.248,19,1,15,54,180,49,137,7,0.321,0.392,0.713,0.9
12,Matt OlsonATL,1B,134,518,70,128,0.247,41,0,27,87,250,62,137,0,0.329,0.483,0.812,2.7
12,Austin RileyATL,3B,132,514,79,149,0.29,36,2,35,88,294,45,137,2,0.36,0.572,0.932,5.7
15,Matt ChapmanTOR,3B,125,435,71,103,0.237,23,1,24,64,200,51,136,2,0.325,0.46,0.784,3.1
16,Bo BichetteTOR,SS,129,528,69,140,0.265,34,0,18,71,228,33,135,9,0.309,0.432,0.74,1.5
17,Chris TaylorLAD,LF,96,325,38,73,0.225,23,3,8,34,126,40,134,9,0.313,0.388,0.7,0.5
17,Julio RodriguezSEA,CF,116,453,71,120,0.265,21,3,22,66,213,34,134,23,0.325,0.47,0.795,4.5
19,Shohei OhtaniLAA,SP,129,477,75,127,0.266,20,6,30,82,249,66,133,11,0.358,0.522,0.88,3
20,Joey GalloLAD/NYY,LF,103,287,40,47,0.164,6,2,15,33,102,48,131,2,0.288,0.355,0.643,0.1
20,Ryan McMahonCOL,3B,126,435,52,107,0.246,20,3,13,58,172,52,131,7,0.33,0.395,0.725,2.6
22,Franmil ReyesCLE/CHC,RF,94,357,34,82,0.23,14,2,13,41,139,19,129,2,0.268,0.389,0.658,-0.6
23,Christian YelichMIL,LF,125,468,83,121,0.259,19,4,11,45,181,71,128,16,0.36,0.387,0.746,2.4
23,Willy AdamesMIL,SS,110,444,69,103,0.232,22,0,26,77,203,38,128,5,0.292,0.457,0.749,3
23,Randy ArozarenaTB,LF,126,480,59,128,0.267,31,2,18,70,217,39,128,27,0.334,0.452,0.786,2.6
26,Cody BellingerLAD,CF,118,425,59,86,0.202,22,3,17,54,165,32,127,11,0.259,0.388,0.647,1.2
27,Ian HappCHC,LF,130,474,62,132,0.278,36,2,15,63,217,49,126,7,0.352,0.458,0.809,3.9
28,Josh DonaldsonNYY,3B,110,395,46,86,0.218,26,0,12,50,148,44,124,2,0.303,0.375,0.678,1.8
28,Nick CastellanosPHI,RF,128,499,53,132,0.265,27,0,13,61,198,27,124,7,0.305,0.397,0.702,-0.3
28,Jorge MateoBAL,SS,123,410,53,94,0.229,21,6,12,45,163,22,124,29,0.276,0.398,0.674,2.8
31,J.D. MartinezBOS,DH,116,450,63,123,0.273,37,0,11,51,193,44,123,0,0.341,0.429,0.77,0.7
31,Teoscar HernandezTOR,RF,105,396,53,104,0.263,24,1,19,62,187,29,123,6,0.316,0.472,0.788,2.4
31,Ryan MountcastleBAL,1B,117,455,55,113,0.248,24,0,21,72,200,31,123,4,0.296,0.44,0.735,1.1
31,Trent GrishamSD,CF,129,399,53,77,0.193,15,2,16,49,144,56,123,5,0.3,0.361,0.661,2.3
35,Javier BaezDET,SS,117,449,48,102,0.227,24,2,12,49,166,23,118,8,0.271,0.37,0.641,1.6
35,Nathaniel LoweTEX,1B,127,482,62,147,0.305,22,3,23,67,244,38,118,2,0.358,0.506,0.864,2.9
37,Seth BrownOAK,1B,123,405,40,90,0.222,22,2,17,51,167,35,117,8,0.288,0.412,0.701,0.7
38,Paul GoldschmidtSTL,1B,126,474,97,157,0.331,34,0,34,107,293,69,116,6,0.418,0.618,1.036,7.2
38,Kole CalhounTEX,RF,105,349,36,73,0.209,14,1,12,46,125,22,116,2,0.264,0.358,0.622,-0.8
38,Byron BuxtonMIN,CF,92,340,61,76,0.224,13,3,28,51,179,34,116,6,0.306,0.526,0.833,4.1
41,Max MuncyLAD,3B,110,373,54,69,0.185,16,1,16,51,135,74,115,2,0.319,0.362,0.681,1.6
42,Nelson CruzWSH,DH,119,426,46,100,0.235,16,0,10,64,146,47,114,4,0.315,0.343,0.657,0.3
42,Bryan ReynoldsPIT,CF,116,430,58,109,0.253,14,4,21,48,194,45,114,5,0.334,0.451,0.785,2
42,Daulton VarshoARI,C,121,430,62,102,0.237,20,3,19,60,185,41,114,8,0.308,0.43,0.738,3.3
42,Bobby Witt Jr.KC,SS,123,480,68,119,0.248,22,6,20,69,213,23,114,26,0.288,0.444,0.732,0.6
46,Robbie GrossmanATL/DET,RF,108,348,33,71,0.204,15,1,4,34,100,48,113,5,0.309,0.287,0.596,0.1
46,Trey ManciniBAL/HOU,1B,117,439,49,113,0.257,19,1,16,58,182,40,113,0,0.329,0.415,0.744,1.9
46,Bobby DalbecBOS,1B,111,304,38,64,0.211,9,2,11,36,110,29,113,3,0.282,0.362,0.644,-0.4
49,Mike TroutLAA,CF,93,337,62,91,0.27,18,2,28,58,197,43,112,1,0.363,0.585,0.947,4.2
49,Trevor StoryBOS,2B,87,331,51,78,0.236,20,0,15,59,143,29,112,12,0.3,0.432,0.732,2.3
