Rank,Player,Strikeouts
1,Wisdom • CHC,53
2,Swanson • ATL,52
NA,Reyes • CLE,52
4,Schwarber • PHI,49
NA,Suarez • SEA,49
6,Taylor • LAD,48
NA,Rodriguez • SEA,48
8,Duvall • ATL,47
9,Bellinger • LAD,46
10,Gallo • NYY,45
NA,García • TEX,45
