RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,136,490,67,114,0.233,23,2,27,79,222,69,178,0,0.335,0.453,0.788,4.3
2,Kyle SchwarberPHI,LF,130,488,81,104,0.213,19,2,36,78,235,66,176,6,0.309,0.482,0.791,1.3
3,Patrick WisdomCHC,3B,117,411,60,89,0.217,25,0,22,58,180,51,158,7,0.311,0.438,0.749,1.1
4,Dansby SwansonATL,SS,137,538,89,153,0.284,30,1,18,80,239,44,157,17,0.34,0.444,0.784,5
5,Adolis GarciaTEX,RF,131,520,74,129,0.248,26,4,22,84,229,31,156,23,0.293,0.44,0.734,2.8
6,Aaron JudgeNYY,CF,133,489,110,147,0.301,22,0,55,118,334,85,150,16,0.407,0.683,1.09,8.6
7,Luke VoitSD/WSH,1B,110,403,47,92,0.228,18,0,19,60,167,48,146,1,0.317,0.414,0.732,0.9
8,C.J. CronCOL,1B,131,509,71,135,0.265,26,3,26,90,245,34,145,0,0.318,0.481,0.799,2.4
9,Tommy PhamBOS/CIN,LF,123,475,80,118,0.248,19,1,16,56,187,50,144,7,0.321,0.394,0.715,1
10,Matt ChapmanTOR,3B,130,456,72,107,0.235,25,1,24,66,206,53,142,2,0.322,0.452,0.774,3.1
11,Austin RileyATL,3B,135,526,80,150,0.285,36,2,35,89,295,46,141,2,0.356,0.561,0.917,5.7
11,Rhys HoskinsPHI,1B,134,503,70,125,0.249,27,2,26,66,234,65,141,2,0.339,0.465,0.804,2.7
13,Bo BichetteTOR,SS,134,550,78,151,0.275,35,0,22,80,252,35,140,9,0.318,0.458,0.776,2.4
14,Matt OlsonATL,1B,137,528,74,129,0.244,41,0,28,90,254,66,139,0,0.33,0.481,0.811,2.8
14,Chris TaylorLAD,LF,99,335,39,73,0.218,23,3,8,34,126,40,139,9,0.306,0.376,0.682,0.3
14,Shohei OhtaniLAA,SP,132,491,79,131,0.267,21,6,33,86,263,66,139,11,0.356,0.536,0.892,3.3
14,Brandon MarshPHI/LAA,CF,112,350,40,80,0.229,11,3,9,45,124,24,139,9,0.282,0.354,0.636,0.6
18,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.6
19,Julio RodriguezSEA,CF,120,470,74,127,0.27,22,3,23,68,224,36,137,24,0.331,0.477,0.807,5
20,Joey GalloLAD/NYY,LF,107,297,42,50,0.168,7,2,16,37,109,48,135,2,0.29,0.367,0.657,0.3
20,Ryan McMahonCOL,3B,130,447,55,109,0.244,20,3,13,58,174,54,135,7,0.329,0.389,0.718,2.4
22,Willy AdamesMIL,SS,114,461,70,106,0.23,24,0,26,79,208,39,134,5,0.289,0.451,0.74,3.3
23,Christian YelichMIL,LF,128,481,85,125,0.26,20,4,12,47,189,72,132,16,0.36,0.393,0.753,2.6
23,Franmil ReyesCLE/CHC,DH,97,367,35,86,0.234,15,2,13,41,144,21,132,2,0.276,0.392,0.668,-0.5
25,Teoscar HernandezTOR,RF,109,414,54,109,0.263,26,1,20,64,197,29,131,6,0.315,0.476,0.79,2.3
26,Cody BellingerLAD,CF,121,432,60,86,0.199,22,3,17,55,165,36,130,12,0.262,0.382,0.644,1.2
27,Ryan MountcastleBAL,1B,122,475,56,117,0.246,26,0,21,77,206,32,129,4,0.293,0.434,0.727,1
27,Ian HappCHC,LF,133,485,63,133,0.274,36,2,16,64,221,50,129,7,0.347,0.456,0.803,3.9
29,Randy ArozarenaTB,LF,130,495,62,133,0.269,34,2,19,74,228,40,128,27,0.335,0.461,0.796,3
30,Trent GrishamSD,CF,133,410,54,78,0.19,15,2,16,49,145,57,127,6,0.297,0.354,0.651,2.1
31,Josh DonaldsonNYY,3B,112,400,46,88,0.22,26,0,12,51,150,47,126,2,0.309,0.375,0.684,2.1
31,Jorge MateoBAL,SS,127,421,55,95,0.226,21,7,12,45,166,24,126,30,0.275,0.394,0.669,3
33,Nick CastellanosPHI,RF,128,499,53,132,0.265,27,0,13,61,198,27,124,7,0.305,0.397,0.702,-0.3
34,J.D. MartinezBOS,DH,117,453,63,123,0.272,37,0,11,51,193,45,123,0,0.341,0.426,0.767,0.6
34,Javier BaezDET,SS,121,465,50,107,0.23,24,2,12,52,171,24,123,8,0.274,0.368,0.641,1.7
36,Kole CalhounTEX,RF,108,358,36,74,0.207,14,1,12,47,126,24,122,2,0.264,0.352,0.616,-1
36,Max MuncyLAD,3B,114,391,60,77,0.197,17,1,19,57,153,74,122,2,0.323,0.391,0.715,2.1
38,Seth BrownOAK,1B,126,418,45,95,0.227,22,2,21,55,184,35,120,8,0.291,0.44,0.731,1.2
39,Nathaniel LoweTEX,1B,131,497,64,152,0.306,22,3,24,68,252,40,119,2,0.36,0.507,0.867,3
40,Paul GoldschmidtSTL,1B,130,487,99,160,0.329,35,0,35,108,300,72,118,6,0.417,0.616,1.033,7.6
40,Jeremy PenaHOU,SS,113,433,54,107,0.247,17,1,16,46,174,19,118,9,0.284,0.402,0.685,3.7
42,Mike TroutLAA,CF,97,353,68,98,0.278,19,2,32,62,217,44,117,1,0.367,0.615,0.982,4.8
43,Trevor StoryBOS,2B,91,345,52,83,0.241,22,0,16,63,153,31,116,13,0.305,0.443,0.749,2.7
43,Byron BuxtonMIN,CF,92,340,61,76,0.224,13,3,28,51,179,34,116,6,0.306,0.526,0.833,4.1
43,Bryan ReynoldsPIT,CF,120,444,59,113,0.255,14,4,21,49,198,47,116,6,0.335,0.446,0.781,2.2
43,Bobby Witt Jr.KC,SS,127,495,69,122,0.246,23,6,20,70,217,27,116,27,0.291,0.438,0.729,0.6
47,Nelson CruzWSH,DH,121,432,48,101,0.234,16,0,10,64,147,49,115,4,0.316,0.34,0.656,0.2
47,Trey ManciniBAL/HOU,DH,121,449,51,114,0.254,19,1,16,58,183,42,115,0,0.329,0.408,0.736,1.8
47,Andrew VelazquezLAA,SS,121,310,36,59,0.19,8,0,8,26,91,15,115,15,0.233,0.294,0.526,1.4
47,Daulton VarshoARI,RF,125,444,66,108,0.243,20,3,23,64,203,41,115,8,0.311,0.457,0.768,4
