Rank,Player,Strikeouts
1,Suarez • SEA,183
2,Schwarber • PHI,182
3,Swanson • ATL,164
4,Wisdom • CHC,163
5,García • TEX,162
6,Judge • NYY,157
7,Chapman • TOR,153
8,Cron • COL,152
9,Pham • 2TM,151
10,Riley • ATL,150
NA,Voit • 2TM,150
