RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,81,300,37,72,0.24,17,1,13,38,130,39,111,0,0.333,0.433,0.767,2.1
2,Patrick WisdomCHC,3B,76,274,43,63,0.23,15,0,17,45,129,31,106,4,0.316,0.471,0.787,1
3,Chris TaylorLAD,LF,74,252,32,60,0.238,19,3,6,27,103,29,101,6,0.319,0.409,0.728,0.5
4,Kyle SchwarberPHI,LF,78,289,54,62,0.215,12,0,23,51,143,49,100,4,0.331,0.495,0.826,1.4
5,Trevor StoryBOS,2B,73,276,44,62,0.225,15,0,13,53,116,28,96,10,0.299,0.42,0.719,1.9
6,Adam DuvallATL,CF,77,263,36,54,0.205,13,1,10,32,99,21,93,0,0.272,0.376,0.649,-0.3
7,Austin RileyATL,3B,79,308,44,81,0.263,18,1,20,48,161,26,91,2,0.332,0.523,0.855,2.4
7,Julio RodriguezSEA,CF,81,305,47,84,0.275,16,2,15,43,149,23,91,20,0.335,0.489,0.824,3.3
9,Dansby SwansonATL,SS,81,306,52,93,0.304,18,1,14,49,155,25,90,12,0.361,0.507,0.868,3.4
9,Brandon MarshLAA,LF,73,235,27,54,0.23,8,1,6,31,82,16,90,4,0.281,0.349,0.63,0.7
11,C.J. CronCOL,1B,80,313,49,93,0.297,17,2,20,65,174,21,89,0,0.348,0.556,0.904,2.5
11,Joey GalloNYY,RF,66,194,25,32,0.165,4,0,9,18,63,30,89,1,0.277,0.325,0.602,-0.2
11,Jared WalshLAA,1B,77,281,33,71,0.253,12,2,13,40,126,14,89,1,0.295,0.448,0.744,0.7
14,Mike TroutLAA,CF,72,257,53,70,0.272,17,2,23,47,160,37,88,0,0.372,0.623,0.995,3.9
15,Cody BellingerLAD,CF,73,269,37,56,0.208,14,2,11,31,107,22,87,9,0.269,0.398,0.666,1.3
15,Luke VoitSD,DH,62,227,29,52,0.229,15,0,10,35,97,29,87,1,0.317,0.427,0.744,0.8
15,Bo BichetteTOR,SS,80,339,44,87,0.257,20,0,12,43,143,21,87,5,0.3,0.422,0.722,0.9
18,Jorge MateoBAL,SS,74,242,27,47,0.194,10,2,6,21,79,15,86,19,0.252,0.326,0.578,1.3
18,Adolis GarciaTEX,RF,76,300,47,75,0.25,16,3,15,51,142,17,86,12,0.291,0.473,0.764,2.6
20,Aaron JudgeNYY,CF,78,294,64,83,0.282,12,0,29,59,182,39,85,6,0.362,0.619,0.981,3.5
21,Rhys HoskinsPHI,1B,79,292,44,75,0.257,16,2,17,42,146,41,83,0,0.35,0.5,0.85,2.2
22,Christian YelichMIL,LF,79,300,53,76,0.253,11,3,8,31,117,42,82,12,0.349,0.39,0.739,1.4
22,Jorge SolerMIA,LF,67,254,31,55,0.217,13,0,13,34,107,30,82,0,0.306,0.421,0.727,0.6
22,Randy ArozarenaTB,LF,77,297,36,76,0.256,17,2,8,36,121,18,82,18,0.311,0.407,0.718,0.7
25,Shohei OhtaniLAA,SP,78,294,47,77,0.262,15,1,18,51,148,35,81,8,0.344,0.503,0.848,1.5
26,Ryan McMahonCOL,3B,78,270,32,64,0.237,13,2,7,38,102,36,80,1,0.332,0.378,0.71,1.4
26,Franmil ReyesCLE,DH,48,181,15,38,0.21,6,0,6,20,62,12,80,0,0.262,0.343,0.604,-0.6
28,Eduardo EscobarNYM,3B,73,277,33,63,0.227,16,3,9,37,112,24,78,0,0.284,0.404,0.689,0.1
28,Matt OlsonATL,1B,81,309,33,78,0.252,31,0,12,45,145,45,78,0,0.347,0.469,0.817,1.4
28,Trent GrishamSD,CF,79,260,31,49,0.188,10,2,8,32,87,33,78,2,0.285,0.335,0.62,1
28,Bobby Witt Jr.KC,SS,76,292,42,68,0.233,16,5,11,39,127,19,78,12,0.284,0.435,0.719,0.8
32,Nick CastellanosPHI,RF,79,307,32,76,0.248,17,0,8,42,117,21,77,4,0.298,0.381,0.679,-0.8
33,Andrew VelazquezLAA,SS,73,210,22,35,0.167,6,0,5,20,56,9,76,10,0.21,0.267,0.476,0.8
34,Robbie GrossmanDET,LF,63,210,19,44,0.21,9,0,2,18,59,30,75,3,0.316,0.281,0.597,-0.1
35,Matt ChapmanTOR,3B,76,264,40,56,0.212,14,0,11,37,103,26,74,0,0.287,0.39,0.677,1.1
35,Ryan MountcastleBAL,1B,69,274,35,76,0.277,18,0,14,40,136,15,74,3,0.315,0.496,0.811,1.7
35,Bryan ReynoldsPIT,CF,76,285,37,72,0.253,8,3,15,32,131,31,74,3,0.328,0.46,0.788,1.4
38,Tommy PhamCIN,LF,70,257,47,65,0.253,9,0,11,34,107,36,73,6,0.343,0.416,0.76,1.1
38,Jesus SanchezMIA,CF,67,233,31,50,0.215,9,3,11,29,98,14,73,1,0.264,0.421,0.685,0.2
40,Giancarlo StantonNYY,DH,66,237,31,58,0.245,5,0,20,53,123,31,72,0,0.328,0.519,0.847,1.4
40,Avisail GarciaMIA,RF,66,246,23,57,0.232,7,0,6,25,82,9,72,3,0.268,0.333,0.602,-0.4
40,J.D. MartinezBOS,DH,69,271,45,83,0.306,24,0,8,33,131,28,72,0,0.376,0.483,0.859,1.3
40,Marcell OzunaATL,DH,77,299,39,68,0.227,9,0,16,34,125,21,72,2,0.28,0.418,0.698,-0.4
40,Byron BuxtonMIN,CF,62,230,46,52,0.226,10,2,22,40,132,20,72,1,0.301,0.574,0.875,2.6
45,Gary SanchezMIN,C,65,234,26,51,0.218,18,0,9,34,96,15,71,1,0.275,0.41,0.685,0.3
45,Brett PhillipsTB,RF,59,155,16,23,0.148,4,0,4,10,39,12,71,6,0.218,0.252,0.469,0.7
45,Nathaniel LoweTEX,1B,73,274,32,76,0.277,10,1,11,34,121,20,71,1,0.327,0.442,0.768,0.7
48,Kole CalhounTEX,RF,72,245,28,58,0.237,12,1,10,36,102,16,70,2,0.289,0.416,0.706,0.4
48,Willy AdamesMIL,SS,60,233,41,49,0.21,11,0,16,45,108,24,70,2,0.287,0.464,0.75,1.6
48,Trea TurnerLAD,SS,79,318,43,99,0.311,20,2,11,59,156,24,70,16,0.359,0.491,0.85,2.8
