Rank,Player,Strikeouts
1,Suarez • SEA,141
2,Schwarber • PHI,134
3,Wisdom • CHC,132
4,García • TEX,120
5,Cron • COL,117
NA,Marsh • LAA,117
7,Judge • NYY,116
8,Swanson • ATL,113
9,Olson • ATL,111
NA,Walsh • LAA,111
