Rank,Player,Strikeouts
1,Suarez • SEA,77
2,Wisdom • CHC,75
3,Schwarber • PHI,73
4,Taylor • LAD,71
5,Story • BOS,70
6,Riley • ATL,69
NA,Rodriguez • SEA,69
8,Duvall • ATL,67
9,Swanson • ATL,66
NA,Cron • COL,66
NA,Hoskins • PHI,66
