Rank,Player,Strikeouts
1,Suarez • SEA,155
2,Wisdom • CHC,149
3,Schwarber • PHI,144
4,García • TEX,132
5,Swanson • ATL,131
6,Voit • 2TM,128
7,Marsh • 2TM,127
8,Walsh • LAA,126
NA,Judge • NYY,126
10,Olson • ATL,125
NA,Cron • COL,125
