RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,63,232,32,55,0.237,12,1,12,34,105,29,87,0,0.33,0.453,0.782,1.6
2,Patrick WisdomCHC,3B,60,213,32,48,0.225,13,0,12,31,97,24,84,2,0.308,0.455,0.764,0.6
3,Kyle SchwarberPHI,LF,62,226,43,48,0.212,10,0,18,37,112,41,80,3,0.337,0.496,0.833,1
3,Julio RodriguezSEA,CF,63,236,29,61,0.258,11,1,8,28,98,20,80,17,0.324,0.415,0.74,1.9
5,Trevor StoryBOS,2B,57,220,32,48,0.218,14,0,9,42,89,25,79,8,0.303,0.405,0.707,1.5
6,Chris TaylorLAD,DH,58,197,25,50,0.254,15,3,6,25,89,25,76,4,0.338,0.452,0.79,0.8
6,Austin RileyATL,3B,63,251,37,65,0.259,13,1,18,39,134,20,76,2,0.331,0.534,0.865,2.4
8,C.J. CronCOL,1B,64,249,36,71,0.285,14,2,14,44,131,16,74,0,0.335,0.526,0.861,1.8
8,Adam DuvallATL,CF,62,214,30,44,0.206,10,1,7,25,77,18,74,0,0.271,0.36,0.631,-0.3
10,Ryan McMahonCOL,2B,63,224,27,51,0.228,12,2,4,32,79,28,72,0,0.32,0.353,0.673,1.1
10,Adolis GarciaTEX,RF,61,242,35,59,0.244,10,2,12,41,109,14,72,10,0.288,0.45,0.739,1.7
10,Jared WalshLAA,1B,62,230,28,58,0.252,11,1,11,36,104,13,72,1,0.301,0.452,0.753,0.8
13,Brandon MarshLAA,CF,57,190,24,47,0.247,6,0,6,30,71,14,71,3,0.301,0.374,0.675,0.9
14,Jorge SolerMIA,RF,57,217,29,47,0.217,12,0,12,29,95,25,70,0,0.306,0.438,0.744,0.7
14,Joey GalloNYY,LF,52,158,20,29,0.184,3,0,8,15,56,23,70,1,0.287,0.354,0.642,0.2
14,Cody BellingerLAD,CF,57,209,25,43,0.206,13,2,7,23,81,19,70,7,0.275,0.388,0.663,1
14,Dansby SwansonATL,SS,64,234,39,69,0.295,12,1,9,37,110,23,70,9,0.362,0.47,0.832,2.6
14,Rhys HoskinsPHI,1B,63,241,36,61,0.253,13,2,13,36,117,28,70,0,0.335,0.485,0.82,1.4
19,Jorge MateoBAL,SS,58,199,18,42,0.211,9,2,4,16,67,8,69,16,0.245,0.337,0.582,1.4
20,Christian YelichMIL,LF,62,236,39,57,0.242,9,2,7,23,91,28,68,9,0.325,0.386,0.71,0.9
21,Matt OlsonATL,1B,64,246,26,61,0.248,24,0,8,31,109,37,67,0,0.347,0.443,0.79,0.8
21,Luke VoitSD,DH,46,174,24,40,0.23,9,0,8,28,73,20,67,1,0.31,0.42,0.729,0.7
21,Shohei OhtaniLAA,SP,63,243,42,64,0.263,13,1,13,37,118,24,67,7,0.337,0.486,0.823,1.1
24,Aaron JudgeNYY,RF,61,232,53,72,0.31,10,0,25,49,157,31,66,4,0.386,0.677,1.062,3.4
