Rank,Player,Strikeouts
1,Reyes • CLE,51
2,Wisdom • CHC,50
3,Swanson • ATL,47
NA,Suarez • SEA,47
5,Bellinger • LAD,44
6,Schwarber • PHI,43
NA,Rodriguez • SEA,43
8,Duvall • ATL,42
NA,Taylor • LAD,42
NA,Adames • MIL,42
