RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,116,418,54,94,0.225,21,1,19,61,174,59,155,0,0.329,0.416,0.746,2.6
2,Patrick WisdomCHC,3B,110,384,56,85,0.221,22,0,21,54,170,49,149,7,0.317,0.443,0.76,1.4
3,Kyle SchwarberPHI,LF,110,408,71,86,0.211,16,0,34,69,204,59,144,6,0.314,0.5,0.814,1.4
4,Adolis GarciaTEX,RF,111,437,63,111,0.254,22,4,19,73,198,28,132,17,0.302,0.453,0.755,2.7
5,Dansby SwansonATL,SS,117,456,74,134,0.294,25,1,16,64,209,37,131,15,0.349,0.458,0.808,4.5
6,Luke VoitSD/WSH,DH,93,337,43,76,0.226,18,0,15,52,139,43,128,1,0.319,0.412,0.731,0.6
7,Brandon MarshPHI/LAA,CF,104,323,36,73,0.226,11,2,8,39,112,24,127,9,0.283,0.347,0.63,0.6
8,Aaron JudgeNYY,RF,112,420,96,126,0.3,19,0,46,100,283,66,126,12,0.397,0.674,1.071,7
8,Jared WalshLAA,1B,110,397,39,90,0.227,18,2,14,43,154,24,126,2,0.278,0.388,0.666,-0.4
10,C.J. CronCOL,1B,112,437,64,120,0.275,26,3,23,80,221,31,125,0,0.328,0.506,0.834,2.6
10,Matt OlsonATL,1B,117,453,60,113,0.249,36,0,24,76,221,57,125,0,0.336,0.488,0.824,2.6
12,Austin RileyATL,3B,115,453,68,132,0.291,34,2,30,74,260,36,122,2,0.355,0.574,0.929,4.7
13,Rhys HoskinsPHI,1B,114,421,60,105,0.249,21,2,24,54,202,57,121,1,0.343,0.48,0.823,3
13,Bo BichetteTOR,SS,112,461,62,120,0.26,27,0,17,64,198,28,121,7,0.301,0.43,0.731,1.5
15,Tommy PhamBOS/CIN,LF,103,393,66,95,0.242,16,1,14,48,155,44,119,7,0.317,0.394,0.711,0.8
16,Joey GalloLAD/NYY,RF,90,252,35,42,0.167,5,1,14,28,91,42,116,2,0.288,0.361,0.649,0.3
16,Matt ChapmanTOR,3B,108,376,61,90,0.239,18,0,23,60,177,40,116,1,0.318,0.471,0.789,2.8
16,Cody BellingerLAD,CF,105,383,55,79,0.206,20,3,16,50,153,28,116,11,0.261,0.399,0.661,1.3
19,Christian YelichMIL,LF,109,408,71,102,0.25,18,4,8,35,152,64,115,16,0.356,0.373,0.728,1.8
20,Randy ArozarenaTB,LF,109,418,49,107,0.256,25,2,15,58,181,31,114,21,0.317,0.433,0.75,1.6
20,Julio RodriguezSEA,CF,100,384,57,102,0.266,19,2,18,59,179,29,114,21,0.328,0.466,0.794,3.9
22,Nick CastellanosPHI,RF,114,442,47,114,0.258,23,0,10,55,167,27,112,7,0.304,0.378,0.682,-0.7
22,Chris TaylorLAD,LF,82,278,34,65,0.234,20,3,7,30,112,33,112,7,0.317,0.403,0.72,0.3
22,Ryan McMahonCOL,3B,111,381,47,94,0.247,18,3,12,54,154,51,112,7,0.34,0.404,0.744,2.8
22,Shohei OhtaniLAA,SP,112,417,64,106,0.254,17,3,26,68,207,58,112,11,0.349,0.496,0.845,2.1
26,Byron BuxtonMIN,CF,87,323,59,73,0.226,13,3,28,51,176,30,111,5,0.305,0.545,0.85,3.9
26,Franmil ReyesCLE/CHC,DH,75,284,25,63,0.222,10,1,10,32,105,14,111,2,0.259,0.37,0.629,-0.6
26,Willy AdamesMIL,SS,92,368,57,82,0.223,17,0,22,64,165,33,111,4,0.286,0.448,0.735,2.4
29,Josh DonaldsonNYY,3B,95,342,39,76,0.222,23,0,11,43,132,38,110,2,0.306,0.386,0.692,2.3
30,Jorge MateoBAL,SS,107,353,49,82,0.232,18,5,11,36,143,20,109,27,0.282,0.405,0.687,2.7
31,Marcell OzunaATL,DH,107,415,50,89,0.214,14,0,20,46,163,27,107,2,0.263,0.393,0.656,-1.3
31,Trent GrishamSD,CF,114,365,48,73,0.2,15,2,15,46,137,49,107,5,0.3,0.375,0.675,2
33,J.D. MartinezBOS,DH,99,384,54,107,0.279,34,0,9,46,168,35,106,0,0.343,0.438,0.78,0.7
33,Ian HappCHC,LF,111,404,49,114,0.282,30,2,12,54,184,46,106,6,0.36,0.455,0.816,3.5
33,Nathaniel LoweTEX,1B,110,415,51,119,0.287,20,2,16,49,191,31,106,2,0.338,0.46,0.798,1.5
36,Kole CalhounTEX,RF,97,322,35,68,0.211,14,1,11,43,117,21,105,2,0.269,0.363,0.632,-0.8
36,Trevor StoryBOS,2B,81,307,49,68,0.221,17,0,15,58,130,28,105,10,0.289,0.423,0.713,2.2
38,Javier BaezDET,SS,103,397,41,90,0.227,24,2,11,45,151,18,104,5,0.267,0.38,0.647,1
38,Ryan MountcastleBAL,1B,100,391,47,99,0.253,24,0,16,57,171,27,104,4,0.301,0.437,0.739,1.1
40,Eduardo EscobarNYM,3B,102,375,41,81,0.216,21,3,12,44,144,28,101,0,0.269,0.384,0.653,-0.3
40,Adam DuvallATL,LF,86,287,39,61,0.213,16,1,12,36,115,21,101,0,0.276,0.401,0.677,-0.1
42,Jesus AguilarMIA,1B,106,392,36,93,0.237,17,0,15,47,155,26,99,1,0.286,0.395,0.682,-0.5
42,Teoscar HernandezTOR,RF,90,339,46,91,0.268,23,1,17,54,167,24,99,6,0.321,0.493,0.813,2.4
42,Bobby DalbecBOS,1B,100,276,34,57,0.207,8,2,11,32,102,26,99,2,0.279,0.37,0.649,-0.6
42,Bobby Witt Jr.KC,SS,106,411,57,103,0.251,19,5,15,57,177,22,99,22,0.293,0.431,0.724,0.4
46,Paul GoldschmidtSTL,1B,108,405,80,133,0.328,31,0,28,89,248,58,98,5,0.413,0.612,1.026,6
46,Jonathan SchoopDET,2B,111,413,40,84,0.203,18,1,9,33,131,15,98,5,0.237,0.317,0.554,0
46,Francisco LindorNYM,SS,115,442,74,118,0.267,17,3,20,82,201,48,98,11,0.345,0.455,0.8,4.7
46,Pete AlonsoNYM,1B,115,427,66,119,0.279,22,0,29,97,228,47,98,2,0.358,0.534,0.892,3.3
46,Daulton VarshoARI,RF,106,377,54,90,0.239,17,3,16,55,161,36,98,8,0.31,0.427,0.737,3
