Rank,Player,Strikeouts
1,Reyes • CLE,43
2,Swanson • ATL,40
3,Duvall • ATL,38
4,Rodriguez • SEA,37
NA,Suarez • SEA,37
6,Taylor • LAD,36
7,Story • BOS,35
NA,Wisdom • CHC,35
9,Soler • MIA,34
NA,Bichette • TOR,34
