Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1DansbyD SwansonSwansonSS1‌‌‌,ATL,14,49,3,7,4,0,0,2,4,22,0,0,0.143,0.208,0.224,0.432
2JoJo AdellAdellLF2‌‌‌,LAA,12,43,3,10,3,0,2,4,1,20,1,0,0.233,0.25,0.442,0.692
2AristidesA AquinoAquinoRF2‌‌‌,CIN,11,36,3,2,0,0,1,2,2,20,0,0,0.056,0.105,0.139,0.244
2JoeyJ VottoVotto1B2‌‌‌,CIN,13,45,3,6,1,0,0,2,5,20,0,0,0.133,0.25,0.156,0.406
5AdamA DuvallDuvallCF5‌‌‌,ATL,14,50,5,10,4,0,0,7,4,19,0,0,0.2,0.273,0.28,0.553
5GiancarloG StantonStantonDH5‌‌‌,NYY,13,51,3,11,1,0,2,8,1,19,0,0,0.216,0.226,0.353,0.579
7JoeyJ BartBartC7‌‌‌,SF,9,29,4,6,1,0,2,4,5,18,1,0,0.207,0.324,0.448,0.772
7JulioJ RodríguezRodriguezCF7‌‌‌,SEA,11,39,4,6,1,0,0,2,4,18,4,0,0.154,0.233,0.179,0.412
9WillyW AdamesAdamesSS9‌‌‌,MIL,13,48,7,8,2,0,1,3,7,17,0,1,0.167,0.273,0.271,0.544
9JoshJ DonaldsonDonaldson3B9‌‌‌,NYY,13,47,4,9,3,0,1,3,5,17,0,0,0.191,0.269,0.319,0.588
9SeanS MurphyMurphyC9‌‌‌,OAK,14,52,7,12,5,1,2,8,2,17,0,0,0.231,0.281,0.481,0.762
9ShoheiS OhtaniOhtaniDH9‌‌‌,LAA,13,55,10,13,3,0,3,9,4,17,2,1,0.236,0.288,0.455,0.743
9FranmilF ReyesReyesDH9‌‌‌,CLE,11,47,3,9,0,0,1,4,2,17,0,0,0.191,0.224,0.255,0.479
9DarinD RufRufDH9‌‌‌,SF,13,46,4,7,2,0,0,2,8,17,0,0,0.152,0.291,0.196,0.487
15CarlosC CorreaCorreaSS15‌‌‌,MIN,12,46,5,9,2,0,1,2,5,16,0,0,0.196,0.275,0.304,0.579
15StevenS DuggarDuggarCF15‌‌‌,SF,12,36,2,7,3,0,0,4,2,16,4,0,0.194,0.231,0.278,0.509
15JoeyJ GalloGalloLF15‌‌‌,NYY,13,37,0,5,0,0,0,0,6,16,0,0,0.135,0.256,0.135,0.391
15TrentT GrishamGrishamCF15‌‌‌,SD,14,46,2,7,2,0,1,2,7,16,0,0,0.152,0.264,0.261,0.525
15JoshJ LoweLoweLF15‌‌‌,TB,12,40,6,8,1,2,0,3,5,16,1,0,0.2,0.289,0.325,0.614
15WilW MyersMyersRF15‌‌‌,SD,11,42,3,8,3,0,0,4,3,16,0,0,0.19,0.244,0.262,0.506
15BrendanB RodgersRodgers2B15‌‌‌,COL,11,42,3,4,1,0,0,1,4,16,0,0,0.095,0.17,0.119,0.289
15LukeL VoitVoitDH15‌‌‌,SD,12,39,5,6,1,0,0,5,10,16,1,0,0.154,0.333,0.179,0.512
23CodyC BellingerBellingerCF23‌‌‌,LAD,12,43,5,12,3,1,2,4,5,15,3,1,0.279,0.354,0.535,0.889
23JorgeJ MateoMateoSS23‌‌‌,BAL,12,38,3,10,2,0,0,3,4,15,3,0,0.263,0.333,0.316,0.649
23CedricC MullinsMullinsCF23‌‌‌,BAL,13,49,2,9,1,1,2,8,3,15,1,1,0.184,0.259,0.367,0.626
