Rank,Player,Strikeouts
1,Suarez • SEA,130
2,Wisdom • CHC,128
3,Schwarber • PHI,124
4,Marsh • LAA,109
NA,García • TEX,109
6,Swanson • ATL,107
NA,Cron • COL,107
8,Riley • ATL,106
NA,Judge • NYY,106
10,Story • BOS,105
NA,Bichette • TOR,105
