Rank,Player,Strikeouts
1,Suarez • SEA,87
2,Wisdom • CHC,84
3,Schwarber • PHI,80
NA,Rodriguez • SEA,80
5,Story • BOS,79
6,Riley • ATL,76
NA,Taylor • LAD,76
8,Duvall • ATL,74
NA,Cron • COL,74
10,McMahon • COL,72
NA,Walsh • LAA,72
NA,García • TEX,72
