RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,121,437,59,99,0.227,21,2,22,69,190,62,163,0,0.331,0.435,0.766,3.3
2,Patrick WisdomCHC,3B,114,401,59,88,0.219,24,0,22,58,178,50,154,7,0.314,0.444,0.758,1.4
3,Kyle SchwarberPHI,LF,116,430,75,92,0.214,17,1,34,71,213,62,153,6,0.316,0.495,0.811,1.6
4,Adolis GarciaTEX,RF,118,467,69,118,0.253,24,4,20,76,210,29,141,19,0.3,0.45,0.749,2.8
5,Dansby SwansonATL,SS,124,483,80,140,0.29,27,1,16,68,217,39,136,16,0.345,0.449,0.794,4.6
5,Jared WalshLAA,1B,116,417,40,91,0.218,18,2,15,44,158,26,136,2,0.271,0.379,0.65,-0.5
7,Aaron JudgeNYY,RF,119,444,99,131,0.295,20,0,47,103,292,69,134,13,0.393,0.658,1.05,7
8,Luke VoitSD/WSH,DH,96,348,44,78,0.224,18,0,16,53,144,44,132,1,0.318,0.414,0.732,0.7
9,Matt OlsonATL,1B,124,479,63,119,0.248,37,0,26,83,234,59,130,0,0.333,0.489,0.821,2.7
10,C.J. CronCOL,1B,116,451,64,121,0.268,26,3,23,80,222,32,128,0,0.323,0.492,0.815,2.2
10,Austin RileyATL,3B,122,479,71,136,0.284,34,2,31,78,267,38,128,2,0.35,0.557,0.908,4.7
10,Rhys HoskinsPHI,1B,121,451,63,111,0.246,22,2,26,60,215,60,128,2,0.338,0.477,0.815,2.9
13,Bo BichetteTOR,SS,118,485,63,125,0.258,28,0,17,64,204,28,127,7,0.297,0.421,0.718,1.4
13,Brandon MarshPHI/LAA,CF,105,324,36,74,0.228,11,2,8,39,113,24,127,9,0.285,0.349,0.634,0.6
15,Matt ChapmanTOR,3B,114,399,65,93,0.233,19,0,24,61,184,40,124,2,0.312,0.461,0.773,2.6
16,Tommy PhamBOS/CIN,LF,108,413,69,101,0.245,19,1,14,52,164,45,123,7,0.317,0.397,0.715,0.8
16,Chris TaylorLAD,LF,87,296,35,67,0.226,21,3,8,31,118,35,123,7,0.31,0.399,0.709,0.4
18,Christian YelichMIL,LF,116,433,78,110,0.254,19,4,9,39,164,67,121,16,0.358,0.379,0.736,1.9
19,Joey GalloLAD/NYY,RF,94,263,38,45,0.171,5,2,15,29,99,44,120,2,0.292,0.376,0.669,0.6
19,Cody BellingerLAD,CF,109,398,56,82,0.206,21,3,17,52,160,29,120,11,0.261,0.402,0.663,1.4
