RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,47,173,25,38,0.22,9,1,9,24,76,20,64,0,0.306,0.439,0.745,1
2,Patrick WisdomCHC,3B,43,150,27,33,0.22,9,0,10,25,72,13,63,1,0.289,0.48,0.769,0.6
2,Kyle SchwarberPHI,LF,46,166,26,30,0.181,6,0,10,22,66,27,63,2,0.301,0.398,0.699,-0.1
4,Adam DuvallATL,CF,47,160,17,30,0.188,7,0,2,16,43,14,59,0,0.258,0.269,0.527,-0.7
4,Chris TaylorLAD,DH,44,153,22,38,0.248,10,3,5,21,69,19,59,3,0.331,0.451,0.782,0.6
6,Julio RodriguezSEA,CF,47,178,21,48,0.27,7,1,6,22,75,12,58,14,0.319,0.421,0.741,1.1
7,Franmil ReyesCLE,DH,35,133,9,26,0.195,2,0,3,12,37,10,57,0,0.255,0.278,0.533,-0.8
7,Austin RileyATL,3B,47,184,22,46,0.25,11,0,11,23,90,16,57,2,0.324,0.489,0.813,0.8
9,Trevor StoryBOS,2B,42,162,26,36,0.222,9,0,9,37,72,19,56,6,0.31,0.444,0.755,1.2
9,Dansby SwansonATL,SS,48,167,25,45,0.269,9,1,6,24,74,16,56,8,0.335,0.443,0.778,1.5
11,Cody BellingerLAD,CF,44,163,20,36,0.221,11,2,5,18,66,15,54,6,0.291,0.405,0.695,1.1
12,Rhys HoskinsPHI,1B,47,177,23,38,0.215,8,1,7,23,69,21,53,0,0.296,0.39,0.686,0.3
12,Jared WalshLAA,1B,46,168,23,41,0.244,8,0,10,29,79,12,53,0,0.298,0.47,0.769,0.5
14,C.J. CronCOL,1B,47,185,30,57,0.308,10,1,13,37,108,12,52,0,0.358,0.584,0.942,2
14,Joey GalloNYY,LF,40,120,11,20,0.167,1,0,5,7,36,17,52,0,0.27,0.3,0.57,-0.2
14,Aaron JudgeNYY,RF,46,175,38,54,0.309,9,0,18,37,117,20,52,3,0.376,0.669,1.044,2.3
14,Adolis GarciaTEX,RF,45,177,26,39,0.22,10,2,7,29,74,9,52,4,0.263,0.418,0.681,0.4
18,Robbie GrossmanDET,LF,42,141,13,28,0.199,6,0,0,10,34,21,51,2,0.311,0.241,0.553,-0.3
18,Sean MurphyOAK,C,46,169,21,35,0.207,14,1,5,22,66,15,51,0,0.28,0.391,0.671,0.5
18,Bo BichetteTOR,SS,47,198,23,50,0.253,12,0,7,24,83,9,51,4,0.285,0.419,0.704,0.5
21,Matt OlsonATL,1B,48,177,20,44,0.249,20,0,5,17,79,32,50,0,0.365,0.446,0.811,0.8
21,Ryan McMahonCOL,2B,46,166,24,41,0.247,10,1,4,22,65,19,50,0,0.335,0.392,0.727,1.1
21,Shohei OhtaniLAA,P,48,185,34,46,0.249,8,0,11,32,87,18,50,7,0.325,0.47,0.796,0.9
21,Brandon MarshLAA,CF,45,145,18,40,0.276,5,0,4,26,57,11,50,3,0.329,0.393,0.722,1.1
25,Eduardo EscobarNYM,3B,45,169,20,38,0.225,13,2,2,14,61,22,49,0,0.311,0.361,0.672,0
25,Nick CastellanosPHI,LF,48,182,23,47,0.258,12,0,6,27,77,14,49,2,0.317,0.423,0.74,-0.1
25,Jorge SolerMIA,RF,42,159,19,34,0.214,7,0,11,25,74,20,49,0,0.309,0.465,0.775,0.9
25,Jesus SanchezMIA,RF,42,144,17,31,0.215,5,3,4,13,54,10,49,0,0.276,0.375,0.651,0.1
25,Pavin SmithARI,RF,44,141,13,32,0.227,5,0,6,21,55,18,49,1,0.317,0.39,0.707,0.6
25,Seiya SuzukiCHC,RF,41,139,20,34,0.245,12,1,4,21,60,21,49,3,0.344,0.432,0.775,0.7
31,Mike TroutLAA,CF,44,158,37,49,0.31,13,1,13,28,103,24,48,0,0.411,0.652,1.063,3
31,Christian YelichMIL,LF,47,175,29,41,0.234,9,1,5,21,67,23,48,7,0.327,0.383,0.71,0.7
31,Randy ArozarenaTB,RF,45,174,21,45,0.259,12,1,4,19,71,11,48,7,0.305,0.408,0.713,0.4
34,Giancarlo StantonNYY,DH,40,151,15,43,0.285,3,0,11,35,79,14,47,0,0.339,0.523,0.862,1.1
34,Jorge MateoBAL,SS,43,153,14,33,0.216,9,1,3,12,53,6,47,13,0.25,0.346,0.596,1.3
34,Matt ChapmanTOR,3B,47,160,19,32,0.2,7,0,6,20,57,19,47,0,0.287,0.356,0.644,0.4
37,Sheldon NeuseOAK,3B,44,159,16,38,0.239,3,2,2,17,51,11,46,4,0.297,0.321,0.617,0.2
38,Avisail GarciaMIA,RF,38,145,11,30,0.207,3,0,3,10,42,4,45,3,0.237,0.29,0.526,-0.7
38,Trent GrishamSD,CF,45,146,10,24,0.164,6,2,2,16,40,19,45,0,0.269,0.274,0.543,0.1
40,Darin RufSF,LF,45,149,26,33,0.221,5,0,3,17,47,28,44,2,0.35,0.315,0.665,-0.6
40,Marcell OzunaATL,DH,48,184,19,42,0.228,5,0,10,22,77,10,44,2,0.269,0.418,0.688,-0.4
40,Jorge PolancoMIN,SS,44,163,20,38,0.233,8,0,5,26,61,26,44,2,0.335,0.374,0.709,1.3
40,Chad PinderOAK,LF,36,125,12,33,0.264,7,0,5,15,55,5,44,2,0.29,0.44,0.73,0.1
40,Jake CronenworthSD,SS,46,179,24,37,0.207,7,2,3,19,57,19,44,0,0.293,0.318,0.611,1.2
40,Pete AlonsoNYM,DH,49,185,28,53,0.286,8,0,12,46,97,18,44,1,0.357,0.524,0.881,1.3
40,Bobby Witt Jr.KC,SS,45,171,23,41,0.24,13,3,6,24,78,7,44,7,0.276,0.456,0.732,0.5
47,Francisco LindorNYM,SS,49,186,37,47,0.253,8,2,8,38,83,24,43,6,0.344,0.446,0.79,1.6
47,Jesus AguilarMIA,1B,43,157,13,41,0.261,6,0,6,20,65,17,43,0,0.326,0.414,0.74,0.1
47,Daulton VarshoARI,CF,46,159,24,42,0.264,10,0,8,21,76,15,43,3,0.335,0.478,0.813,1.7
47,Joey BartSF,C,33,81,11,13,0.16,1,0,4,7,26,13,43,1,0.299,0.321,0.62,-0.1
