Rank,Player,Strikeouts
1,Suarez • SEA,150
2,Schwarber • PHI,143
3,Wisdom • CHC,142
4,García • TEX,126
5,Swanson • ATL,123
6,Walsh • LAA,122
7,Olson • ATL,120
NA,Cron • COL,120
NA,Judge • NYY,120
NA,Marsh • 2TM,120
