Rank,Player,Strikeouts
1,Wisdom • CHC,54
NA,Reyes • CLE,54
3,Swanson • ATL,53
4,Suarez • SEA,52
5,Taylor • LAD,50
NA,Schwarber • PHI,50
7,Rodriguez • SEA,49
8,Duvall • ATL,48
9,Bellinger • LAD,47
10,García • TEX,46
