Rank,Player,Strikeouts
1,Schwarber • PHI,200
2,Suarez • SEA,196
3,Wisdom • CHC,183
NA,García • TEX,183
5,Swanson • ATL,182
6,Voit • 2TM,179
7,Judge • NYY,175
8,Olson • ATL,170
NA,Chapman • TOR,170
10,Hoskins • PHI,169
