Rank,Player,Strikeouts
1,Suarez • SEA,98
2,Wisdom • CHC,93
3,Taylor • LAD,87
NA,Schwarber • PHI,87
5,Story • BOS,85
6,Duvall • ATL,84
NA,Riley • ATL,84
NA,Rodriguez • SEA,84
9,Cron • COL,81
10,Gallo • NYY,80
