Rank,Player,Strikeouts
1,Suarez • SEA,87
2,Wisdom • CHC,82
3,Schwarber • PHI,80
4,Rodriguez • SEA,78
5,Riley • ATL,76
NA,Story • BOS,76
NA,Taylor • LAD,76
8,Duvall • ATL,74
9,Cron • COL,73
10,Walsh • LAA,72
