Name,POS,GP,K,KPGP,GP82,GP100,GP120,GP130,GP140,GP150,GP160,GP162
Bo BichetteTOR,SS,32,36,0.8888888888888888,72.88888888888889,88.88888888888889,106.66666666666666,115.55555555555554,124.44444444444444,133.33333333333331,142.22222222222223,144
Jarred KelenicSEA,CF,30,36,0.8333333333333334,68.33333333333334,83.33333333333334,100,108.33333333333334,116.66666666666667,125,133.33333333333334,135
Giancarlo StantonNYY,DH,28,35,0.8,65.60000000000001,80,96,104,112,120,128,129.6
Rhys HoskinsPHI,1B,30,35,0.8571428571428571,70.28571428571428,85.71428571428571,102.85714285714285,111.42857142857142,120,128.57142857142856,137.14285714285714,138.85714285714286
Brandon MarshLAA,CF,29,35,0.8285714285714286,67.94285714285715,82.85714285714286,99.42857142857143,107.71428571428572,116.00000000000001,124.28571428571429,132.57142857142858,134.22857142857143
Aaron JudgeNYY,RF,29,34,0.8529411764705882,69.94117647058823,85.29411764705883,102.35294117647058,110.88235294117646,119.41176470588235,127.94117647058823,136.47058823529412,138.17647058823528
Chad PinderOAK,3B,22,34,0.6470588235294118,53.05882352941177,64.70588235294117,77.64705882352942,84.11764705882354,90.58823529411765,97.05882352941177,103.52941176470588,104.82352941176471
Tyler O'NeillSTL,LF,27,34,0.7941176470588235,65.11764705882352,79.41176470588235,95.29411764705881,103.23529411764706,111.17647058823529,119.11764705882352,127.05882352941175,128.6470588235294
Austin RileyATL,3B,31,34,0.9117647058823529,74.76470588235294,91.17647058823529,109.41176470588235,118.52941176470588,127.6470588235294,136.76470588235293,145.88235294117646,147.70588235294116
Joey BartSF,C,21,34,0.6176470588235294,50.64705882352941,61.76470588235294,74.11764705882354,80.29411764705883,86.47058823529412,92.64705882352942,98.82352941176471,100.05882352941177
Spencer TorkelsonDET,1B,28,34,0.8235294117647058,67.52941176470588,82.35294117647058,98.8235294117647,107.05882352941175,115.29411764705881,123.52941176470587,131.76470588235293,133.41176470588235
Robbie GrossmanDET,LF,27,33,0.8181818181818182,67.0909090909091,81.81818181818183,98.18181818181819,106.36363636363637,114.54545454545455,122.72727272727273,130.9090909090909,132.54545454545456
C.J. CronCOL,1B,31,33,0.9393939393939394,77.03030303030303,93.93939393939394,112.72727272727273,122.12121212121212,131.51515151515153,140.9090909090909,150.3030303030303,152.1818181818182
Hunter RenfroeMIL,RF,29,33,0.8787878787878788,72.06060606060606,87.87878787878788,105.45454545454545,114.24242424242424,123.03030303030303,131.8181818181818,140.6060606060606,142.36363636363637
Trent GrishamSD,CF,31,33,0.9393939393939394,77.03030303030303,93.93939393939394,112.72727272727273,122.12121212121212,131.51515151515153,140.9090909090909,150.3030303030303,152.1818181818182
Randy ArozarenaTB,RF,31,33,0.9393939393939394,77.03030303030303,93.93939393939394,112.72727272727273,122.12121212121212,131.51515151515153,140.9090909090909,150.3030303030303,152.1818181818182
Sheldon NeuseOAK,3B,30,33,0.9090909090909091,74.54545454545455,90.9090909090909,109.0909090909091,118.18181818181817,127.27272727272727,136.36363636363635,145.45454545454544,147.27272727272728
Avisail GarciaMIA,RF,28,32,0.875,71.75,87.5,105,113.75,122.5,131.25,140,141.75
Bryce HarperPHI,RF,31,32,0.96875,79.4375,96.875,116.25,125.9375,135.625,145.3125,155,156.9375
Joey GalloNYY,LF,27,32,0.84375,69.1875,84.375,101.25,109.6875,118.125,126.5625,135,136.6875
Shohei OhtaniLAA,P,32,32,1,82,100,120,130,140,150,160,162
Jesus SanchezMIA,RF,29,32,0.90625,74.3125,90.625,108.75,117.8125,126.875,135.9375,145,146.8125
Brandon LoweTB,2B,30,32,0.9375,76.875,93.75,112.5,121.875,131.25,140.625,150,151.875
Seiya SuzukiCHC,RF,29,32,0.90625,74.3125,90.625,108.75,117.8125,126.875,135.9375,145,146.8125
Salvador PerezKC,C,28,31,0.9032258064516129,74.06451612903226,90.32258064516128,108.38709677419355,117.41935483870968,126.45161290322581,135.48387096774192,144.51612903225805,146.32258064516128
Tommy PhamCIN,LF,29,31,0.9354838709677419,76.70967741935483,93.54838709677419,112.25806451612902,121.61290322580645,130.96774193548387,140.32258064516128,149.6774193548387,151.54838709677418
Garrett CooperMIA,RF,29,31,0.9354838709677419,76.70967741935483,93.54838709677419,112.25806451612902,121.61290322580645,130.96774193548387,140.32258064516128,149.6774193548387,151.54838709677418
Jorge MateoBAL,SS,30,31,0.967741935483871,79.35483870967742,96.7741935483871,116.12903225806451,125.80645161290323,135.48387096774195,145.16129032258064,154.83870967741936,156.7741935483871
Pete AlonsoNYM,DH,32,31,1.032258064516129,84.64516129032258,103.2258064516129,123.87096774193549,134.19354838709677,144.51612903225805,154.83870967741936,165.16129032258064,167.2258064516129
Miguel CabreraDET,1B,27,30,0.9,73.8,90,108,117,126,135,144,145.8
Eduardo EscobarNYM,3B,30,30,1,82,100,120,130,140,150,160,162
Nick CastellanosPHI,LF,31,30,1.0333333333333334,84.73333333333335,103.33333333333334,124.00000000000001,134.33333333333334,144.66666666666669,155.00000000000003,165.33333333333334,167.4
Jared WalshLAA,1B,31,30,1.0333333333333334,84.73333333333335,103.33333333333334,124.00000000000001,134.33333333333334,144.66666666666669,155.00000000000003,165.33333333333334,167.4
Daulton VarshoARI,CF,30,30,1,82,100,120,130,140,150,160,162
